gene-symbol,gene-name,chromosome,genetic-category,gene-score,syndromic,number-of-reports
PRPF39,pre-mRNA processing factor 39,14,Rare Single Gene Mutation,3,0,3
PRR12,proline rich 12,19,Syndromic,S,S,2
PRUNE2,prune homolog 2,9,"Rare Single Gene Mutation, Syndromic",3,0,7
PSD3,pleckstrin and Sec7 domain containing 3,8,"Rare Single Gene Mutation, Genetic Association",3,0,5
PSMD12,"proteasome 26S subunit, non-ATPase 12",17,Syndromic,1,0,3
PTBP2,polypyrimidine tract binding protein 2,1,"Rare Single Gene Mutation, Genetic Association",3,0,4
PRKN,parkin RBR E3 ubiquitin protein ligase,6,"Rare Single Gene Mutation, Genetic Association",2,0,15
PCDHAC2,"Protocadherin alpha subfamily C, 2",5,Genetic Association,3,0,3
PHB,prohibitin,17,Genetic Association,2,0,1
PIK3CG,"phosphoinositide-3-kinase, catalytic, gamma polypeptide",7,Genetic Association,3,0,4
PON1,paraoxonase 1,7,Genetic Association,2,0,5
PPP1R1B,"Protein phosphatase 1, regulatory (inhibitor) subunit 1B",17,Genetic Association,3,0,1
PTCHD1,patched domain containing 1,X,"Rare Single Gene Mutation, Genetic Association",1,0,11
PTEN,phosphatase and tensin homolog (mutated in multiple advanced cancers 1),10,"Rare Single Gene Mutation, Syndromic, Functional",1,0,60
PTGS2,prostaglandin-endoperoxide synthase 2,1,"Genetic Association, Functional",3,0,6
PTK7,Protein tyrosine kinase 7 (inactive),6,Rare Single Gene Mutation,2,0,4
PTPN11,"protein tyrosine phosphatase, non-receptor type 11",12,"Rare Single Gene Mutation, Syndromic",1,0,16
PTPRB,"protein tyrosine phosphatase, receptor type B",12,"Rare Single Gene Mutation, Genetic Association",3,0,3
PTPRC,"protein tyrosine phosphatase, receptor type, C",1,"Rare Single Gene Mutation, Genetic Association",3,0,9
PTPRT,"protein tyrosine phosphatase, receptor type, T",20,"Rare Single Gene Mutation, Functional",3,0,9
PXDN,peroxidasin,2,Rare Single Gene Mutation,3,0,5
PYHIN1,"Pyrin and HIN domain family, member 1",1,Rare Single Gene Mutation,2,0,4
QRICH1,glutamine rich 1,3,Rare Single Gene Mutation,3,0,3
RAB11FIP5,RAB11 family interacting protein 5,2,Rare Single Gene Mutation,3,0,5
RAB2A,"RAB2A, member RAS oncogene family",8,Rare Single Gene Mutation,2,0,8
RAB39B,"RAB39B, member RAS oncogene family",X,Rare Single Gene Mutation,3,0,12
RAB43,"RAB43, member RAS oncogene family",3,Rare Single Gene Mutation,2,0,2
RAD21,RAD21cohesin complex component,8,Syndromic,S,S,3
RAD21L1,RAD21 cohesin complex component like 1,20,Rare Single Gene Mutation,3,0,2
RAI1,retinoic acid induced 1,17,"Rare Single Gene Mutation, Syndromic",1,0,21
RALA,RAS like proto-oncogene A,7,Syndromic,S,S,2
RALGAPB,Ral GTPase activating protein non-catalytic beta subunit,20,Rare Single Gene Mutation,2,0,3
RANBP17,RAN binding protein 17,5,Rare Single Gene Mutation,2,0,6
RAPGEF4,Rap guanine nucleotide exchange factor (GEF) 4,2,Rare Single Gene Mutation,3,0,17
RASSF5,Ras association domain family member 5,1,"Rare Single Gene Mutation, Genetic Association",3,0,3
RBFOX1,"RNA binding protein, fox-1 homolog (C. elegans) 1",16,"Rare Single Gene Mutation, Genetic Association",2,0,34
RBM27,RNA binding motif protein 27,5,Rare Single Gene Mutation,2,0,3
REEP3,receptor accessory protein 3,10,Rare Single Gene Mutation,3,0,3
RELN,Reelin,7,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,0,51
RERE,Arginine-glutamic acid dipeptide (RE) repeats,1,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,0,6
RFX3,regulatory factor X3,9,Rare Single Gene Mutation,1,0,5
RGS7,regulator of G-protein signaling 7,1,Rare Single Gene Mutation,3,0,6
RHEB,"Ras homolog, mTORC1 binding",7,Syndromic,S,S,1
RHOXF1,"Rhox homeobox family, member 1",X,Genetic Association,3,0,3
RIMS1,Regulating synaptic membrane exocytosis 1,6,"Rare Single Gene Mutation, Genetic Association",1,0,6
RIMS3,regulating synaptic membrane exocytosis 3,1,Rare Single Gene Mutation,3,0,4
RIT2,Ras-like without CAAX 2,18,Genetic Association,3,0,3
RNF135,Ring finger protein 135,17,"Rare Single Gene Mutation, Syndromic, Genetic Association",3S,S,4
RNF38,ring finger protein 38,9,Rare Single Gene Mutation,3,0,2
ROBO2,roundabout guidance receptor 2,3,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,8
RPL10,ribosomal protein L10,X,"Rare Single Gene Mutation, Syndromic",3,0,13
RPS6KA2,"ribosomal protein S6 kinase, 90kDa, polypeptide 2",6,Rare Single Gene Mutation,3,0,4
RPS6KA3,"Ribosomal protein S6 kinase, 90kDa, polypeptide 3",X,"Rare Single Gene Mutation, Syndromic",3S,S,9
SAE1,SUMO1 activating enzyme subunit 1,19,Rare Single Gene Mutation,2,0,3
SAMD11,sterile alpha motif domain containing 11,1,Rare Single Gene Mutation,3,0,2
SASH1,SAM and SH3 domain containing 1,6,Rare Single Gene Mutation,3,0,2
SATB2,SATB homeobox 2,2,"Rare Single Gene Mutation, Syndromic, Genetic Association",3S,S,27
RP11-1407O15.2,,17,Rare Single Gene Mutation,3,0,1
SBF1,SET binding factor 1,22,Rare Single Gene Mutation,2,0,9
SCFD2,sec1 family domain containing 2,4,Rare Single Gene Mutation,3,0,2
SCN1A,"sodium channel, voltage-gated, type I, alpha subunit",2,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,0,58
SCN2A,"sodium channel, voltage-gated, type II, alpha subunit",2,"Rare Single Gene Mutation, Syndromic",1,0,61
SCN4A,"Sodium channel, voltage gated, type IV alpha subunit",17,Rare Single Gene Mutation,3,0,4
SCN8A,"sodium channel, voltage gated, type VIII, alpha subunit",12,"Rare Single Gene Mutation, Syndromic",1,0,33
SCN9A,sodium voltage-gated channel alpha subunit 9,2,Rare Single Gene Mutation,2,0,5
SCP2,sterol carrier protein 2,1,Rare Single Gene Mutation,3,0,2
SDC2,"syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan )",8,"Rare Single Gene Mutation, Genetic Association",3,0,4
SEMA5A,"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A",5,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,17
SET,SETnuclear proto-oncogene,9,Rare Single Gene Mutation,2,0,4
SETBP1,SET binding protein 1,18,"Rare Single Gene Mutation, Syndromic",1,0,13
SETD1B,SET domain containing 1B,12,"Rare Single Gene Mutation, Syndromic",3S,S,9
SETD2,SET domain containing 2,3,"Rare Single Gene Mutation, Syndromic",1,0,11
SETD5,SET domain containing 5,3,"Rare Single Gene Mutation, Syndromic",1,0,23
SETDB1,"SET domain, bifurcated 1",1,Rare Single Gene Mutation,3,0,3
SETDB2,"SET domain, bifurcated 2",13,"Rare Single Gene Mutation, Syndromic",3,0,2
SEZ6L2,SEZ6L2 seizure related 6 homolog (mouse)-like 2,16,"Rare Single Gene Mutation, Genetic Association",3,0,6
SF3B1,splicing factor 3b subunit 1,2,Rare Single Gene Mutation,3,0,4
SGSM3,Small G protein signaling modulator 3,22,Rare Single Gene Mutation,3,0,5
SHANK1,SH3 and multiple ankyrin repeat domains 1,19,"Rare Single Gene Mutation, Genetic Association",2,0,7
SHANK2,SH3 and multiple ankyrin repeat domains 2,11,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,0,33
SHANK3,SH3 and multiple ankyrin repeat domains 3,22,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,0,77
SHOX,short stature homeobox,"X,Y",Rare Single Gene Mutation,2,0,2
SIN3A,SIN3 transcription regulator family member A,15,"Rare Single Gene Mutation, Syndromic",1,0,7
SLC12A5,"Solute carrier family 12 (potassium/chloride transporter), member 5",20,Rare Single Gene Mutation,2,0,5
SLC1A1,"solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1",9,"Rare Single Gene Mutation, Genetic Association",3,0,12
SLC22A9,solute carrier family 22 member 9,11,Rare Single Gene Mutation,3,0,4
SLC24A2,solute carrier family 24 member 2,9,Rare Single Gene Mutation,3,0,3
SLC25A12,"solute carrier family 25 (mitochondrial carrier, Aralar), member 12",2,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,21
SLC25A39,solute carrier family 25 member 39,17,Rare Single Gene Mutation,3,0,3
SLC27A4,"Solute carrier family 27 (fatty acid transporter), member 4",9,Rare Single Gene Mutation,3,0,1
SLC29A4,solute carrier family 29 member 4,7,Rare Single Gene Mutation,3,0,1
SLC38A10,"solute carrier family 38, member 10",17,Rare Single Gene Mutation,2,0,2
SLC4A10,"solute carrier family 4, sodium bicarbonate transporter-like, member 10",2,"Rare Single Gene Mutation, Genetic Association",3,0,6
SLC6A1,"Solute carrier family 6 (neurotransmitter transporter), member 1",3,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,0,24
SLC6A3,"Solute carrier family 6 (neurotransmitter transporter), member 3",5,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,15
SLC6A4,"solute carrier family 6 (neurotransmitter transporter, serotonin), member 4",17,"Rare Single Gene Mutation, Genetic Association",3,0,26
SLC6A8,"solute carrier family 6 (neurotransmitter transporter, creatine), member 8",X,"Rare Single Gene Mutation, Syndromic",3,0,12
SLC7A3,"Solute carrier family 7 (cationic amino acid transporter, y+ system), member 3",X,Rare Single Gene Mutation,2,0,2
SLC7A5,solute carrier family 7 member 5,16,Functional,2,0,2
SLC7A7,solute carrier family 7 member 7,14,Rare Single Gene Mutation,3,0,3
SLC9A6,"solute carrier family 9 (sodium/hydrogen exchanger), member 6",X,"Rare Single Gene Mutation, Syndromic, Functional",1,0,15
SLC9A9,"solute carrier family 9 (sodium/hydrogen exchanger), member 9",3,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,12
SLCO1B3,"Solute carrier organic anion transporter family, member 1B3",12,Rare Single Gene Mutation,3,0,3
SLITRK5,SLIT and NTRK like family member 5,13,"Rare Single Gene Mutation, Functional",2,0,9
SMAD4,SMAD family member 4,18,Rare Single Gene Mutation,2,0,4
SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",19,"Rare Single Gene Mutation, Syndromic",2,0,6
SMARCC2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2",12,"Rare Single Gene Mutation, Syndromic, Functional",1,0,11
SMC3,structural maintenance of chromosomes 3,10,"Rare Single Gene Mutation, Syndromic",3S,S,9
SMG6,"SMG6, nonsense mediated mRNA decay factor",17,Rare Single Gene Mutation,3,0,2
SMURF1,SMAD specific E3 ubiquitin protein ligase 1,7,Rare Single Gene Mutation,3,0,2
SNAP25,"Synaptosomal-associated protein, 25kDa",20,"Rare Single Gene Mutation, Genetic Association",3,0,6
SND1,staphylococcal nuclease and tudor domain containing 1,7,"Rare Single Gene Mutation, Genetic Association",3,0,8
SNTG2,syntrophin gamma 2,2,Rare Single Gene Mutation,3,0,6
SNX5,sorting nexin 5,20,Rare Single Gene Mutation,2,0,3
SOX5,SRY-box 5,12,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,0,13
SPARCL1,SPARC like 1,4,"Rare Single Gene Mutation, Functional",2,0,3
SPAST,Spastin,2,Rare Single Gene Mutation,1,0,10
SPEN,spenfamily transcriptional repressor,1,Rare Single Gene Mutation,2,0,7
SPP2,secreted phosphoprotein 2,2,Rare Single Gene Mutation,3,0,4
SRCAP,Snf2 related CREBBP activator protein,16,Rare Single Gene Mutation,1,0,5
SRGAP3,SLIT-ROBO Rho GTPase activating protein 3,3,Rare Single Gene Mutation,3,0,4
SRSF11,serine and arginine rich splicing factor 11,1,Rare Single Gene Mutation,2,0,4
SSPO,SCO-spondin,7,Rare Single Gene Mutation,3,0,4
SSRP1,structure specific recognition protein 1,11,Rare Single Gene Mutation,3,0,2
ST7,suppression of tumorigenicity 7,7,Rare Single Gene Mutation,3,0,4
ST8SIA2,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2",15,"Rare Single Gene Mutation, Genetic Association",2,0,9
STX1A,Syntaxin 1A (brain),7,"Rare Single Gene Mutation, Genetic Association",3,0,6
STXBP1,Syntaxin binding protein 1,9,"Rare Single Gene Mutation, Syndromic, Functional",1,0,40
STXBP5,Syntaxin binding protein 5 (tomosyn),6,Rare Single Gene Mutation,2,0,6
STYK1,Serine/threonine/tyrosine kinase 1,12,"Rare Single Gene Mutation, Genetic Association",3,0,2
SYAP1,Synapse associated protein 1,X,Rare Single Gene Mutation,3,0,2
SYN1,Synapsin 1,X,"Rare Single Gene Mutation, Functional",3,0,19
SYN2,Synapsin II,3,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,6
SYNCRIP,synaptotagmin binding cytoplasmic RNA interacting protein,6,Rare Single Gene Mutation,3,0,6
SYNE1,"spectrin repeat containing, nuclear envelope 1",6,"Rare Single Gene Mutation, Genetic Association",3S,S,15
SYNGAP1,synaptic Ras GTPase activating protein 1,6,"Rare Single Gene Mutation, Syndromic",1,0,53
SERPINE1,serpin family E member 1,7,Genetic Association,3,0,2
SLC22A15,"Solute carrier family 22, member 15",1,Genetic Association,3,0,1
SLC25A27,solute carrier family 25 member 27,6,Genetic Association,3,0,1
SLC35B1,solute carrier family 35 member B1,17,Genetic Association,2,0,1
SOD1,superoxide dismutase 1,21,"Genetic Association, Functional",3,0,2
STK39,"serine threonine kinase 39 (STE20/SPS1 homolog, yeast)",2,Genetic Association,3,0,5
SYNJ1,synaptojanin 1,21,Rare Single Gene Mutation,3,0,1
SYT17,synaptotagmin XVII,16,Genetic Association,3,0,2
TAF1C,"TATA-box binding protein associated factor, RNA polymerase I subunit C",16,"Rare Single Gene Mutation, Genetic Association",3,0,2
TAF6,TATA-box binding protein associated factor 6,7,Rare Single Gene Mutation,2,0,3
TANC2,"etratricopeptide repeat, ankyrin repeat and coiled-coil containing 2",17,Rare Single Gene Mutation,1,0,6
TAOK2,TAO kinase 2,16,"Rare Single Gene Mutation, Functional",2,0,5
TBC1D23,TBC1 domain family member 23,3,Syndromic,S,S,2
TBC1D31,"TBC1 domain family, member 31",8,Rare Single Gene Mutation,2,0,4
TBC1D5,"TBC1 domain family, member 5",3,"Rare Single Gene Mutation, Genetic Association",3,0,8
TBL1X,transducin (beta)-like 1X-linked,X,Genetic Association,3,0,1
TBL1XR1,transducin beta like 1 X-linked receptor 1,3,"Rare Single Gene Mutation, Syndromic",2,0,20
TBR1,"T-box, brain, 1",2,"Rare Single Gene Mutation, Genetic Association",1,0,25
TCF20,Transcription factor 20 (AR1),22,"Rare Single Gene Mutation, Syndromic",1,0,10
TCF4,Transcription factor 4,18,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,0,44
TCF7L2,"Transcription factor 7-like 2 (T-cell specific, HMG-box)",10,Rare Single Gene Mutation,2,0,3
TDO2,"tryptophan 2,3-dioxygenase",4,Genetic Association,3,0,4
TECTA,tectorin alpha,11,Rare Single Gene Mutation,3,0,7
TERF2,Telomeric repeat binding factor 2,16,Rare Single Gene Mutation,2,0,3
TET2,Tet methylcytosine dioxygenase 2,4,Rare Single Gene Mutation,2,0,4
THBS1,Thrombospondin 1,15,"Rare Single Gene Mutation, Genetic Association",3,0,3
THRA,thyroid hormone receptor alpha,17,"Rare Single Gene Mutation, Functional",3,0,4
TLK2,tousled-like kinase 2,17,"Rare Single Gene Mutation, Syndromic",1,0,13
TM4SF19,transmembrane 4 L six family member 19,3,Rare Single Gene Mutation,3,0,3
TERB2,telomere repeat binding bouquet formation protein 2,15,Rare Single Gene Mutation,3,0,1
TMEM39B,transmembrane protein 39B,1,Rare Single Gene Mutation,3,0,4
TMLHE,"trimethyllysine hydroxylase, epsilon",X,"Rare Single Gene Mutation, Genetic Association",2,0,5
TNRC6B,Trinucleotide repeat containing 6B,22,Rare Single Gene Mutation,2,0,7
TOP3B,Topoisomerase (DNA) III beta,22,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,6
TPO,Thyroid peroxidase,2,Genetic Association,3,0,1
TRAF7,TNF receptor associated factor 7,16,"Rare Single Gene Mutation, Syndromic",3S,S,4
TRAPPC9,trafficking protein particle complex 9,8,"Rare Single Gene Mutation, Syndromic",2,0,13
TRIM33,Tripartite motif containing 33,1,Genetic Association,3,0,1
TRIO,Trio Rho guanine nucleotide exchange factor,5,"Rare Single Gene Mutation, Syndromic",1,0,23
TRIP12,Thyroid hormone receptor interactor 12,2,"Rare Single Gene Mutation, Syndromic",1,0,16
TRPC6,"Transient receptor potential cation channel, subfamily C, member 6",11,Rare Single Gene Mutation,2,0,3
TRPM1,transient receptor potential cation channel subfamily M member 1,15,Rare Single Gene Mutation,2,0,4
TRRAP,transformation/transcription domain associated protein,7,"Rare Single Gene Mutation, Syndromic",3S,S,8
TSC1,tuberous sclerosis 1,9,"Rare Single Gene Mutation, Syndromic",1,0,20
TSC2,tuberous sclerosis 2,16,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,0,30
TSHZ3,teashirt zinc finger homeobox 3,19,"Rare Single Gene Mutation, Functional",1,0,3
TSPAN17,tetraspanin 17,5,Rare Single Gene Mutation,3,0,3
TSPAN4,tetraspanin 4,11,Rare Single Gene Mutation,3,0,3
TSPAN7,tetraspanin 7,X,Rare Single Gene Mutation,3,0,7
TSPOAP1,TSPO associated protein 1,17,Rare Single Gene Mutation,3,0,5
TTC25,tetratricopeptide repeat domain 25,17,Genetic Association,3,0,1
TTN,titin,2,"Rare Single Gene Mutation, Syndromic",3S,S,19
TUBGCP5,"tubulin, gamma complex associated protein 5",15,Rare Single Gene Mutation,3,0,4
UBE2H,"ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast)",7,Genetic Association,3,0,2
UBE3A,ubiquitin protein ligase E3A,15,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,0,27
UBE3C,Ubiquitin protein ligase E3C,7,Rare Single Gene Mutation,2,0,4
UBN2,ubinuclein 2,7,Rare Single Gene Mutation,2,0,3
UBR5,ubiquitin protein ligase E3 component n-recognin 5,8,Rare Single Gene Mutation,2,0,7
UIMC1,ubiquitin interaction motif containing 1,5,Rare Single Gene Mutation,3,0,3
UNC13A,unc-13 homolog A,19,"Rare Single Gene Mutation, Syndromic",3S,S,6
UNC79,"unc-79 homolog, NALCN channel complex subunit",14,Rare Single Gene Mutation,2,0,4
UNC80,"unc-80 homolog, NALCN activator",2,Rare Single Gene Mutation,3,0,5
UPF3B,"UPF3B, regulator of nonsense mediated mRNA decay",X,"Rare Single Gene Mutation, Syndromic",1,0,12
USH2A,usherin,1,Rare Single Gene Mutation,3,0,6
USP15,ubiquitin specific peptidase 15,12,Rare Single Gene Mutation,2,0,3
USP45,Ubiquitin specific peptidase 45,6,Rare Single Gene Mutation,2,0,3
USP7,Ubiquitin specific peptidase 7 (herpes virus-associated),16,"Rare Single Gene Mutation, Syndromic",2S,S,7
USP9Y,"ubiquitin specific peptidase 9, Y-linked",Y,"Rare Single Gene Mutation, Genetic Association",3,0,2
VASH1,vasohibin 1,14,Genetic Association,3,0,4
VDR,vitamin D receptor,12,"Genetic Association, Functional",3,0,7
VIL1,Villin 1,2,Rare Single Gene Mutation,2,0,2
VPS13B,vacuolar protein sorting 13 homolog B (yeast),8,"Rare Single Gene Mutation, Syndromic",1,0,20
VSIG4,V-set and immunoglobulin domain containing 4,X,Rare Single Gene Mutation,3,0,2
WAC,WW domain containing adaptor with coiled-coil,10,"Rare Single Gene Mutation, Syndromic",1,0,17
WASF1,WAS protein family member 1,6,Syndromic,S,S,1
WDFY3,WD repeat and FYVE domain containing 3,4,"Rare Single Gene Mutation, Syndromic, Functional",1,0,16
WDFY4,WDFY family member 4,10,Rare Single Gene Mutation,2,0,6
WNK3,WNK lysine deficient protein kinase 3,X,Rare Single Gene Mutation,3,0,6
WNT1,"Wingless-type MMTV integration site family, member 1",12,Genetic Association,3,0,3
WWOX,WW domain containing oxidoreductase,16,"Rare Single Gene Mutation, Syndromic",2,0,9
XPO1,"Exportin 1 (CRM1 homolog, yeast)",2,"Rare Single Gene Mutation, Genetic Association",3,0,5
YEATS2,YEATS domain containing 2,3,"Rare Single Gene Mutation, Genetic Association",3,0,2
YTHDC2,YTH domain containing 2,5,"Rare Single Gene Mutation, Genetic Association",3,0,5
YWHAE,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon,17,Rare Single Gene Mutation,3,0,5
ZBTB16,Zinc finger and BTB domain containing 16,11,Genetic Association,3,0,1
ZBTB20,Zinc finger and BTB domain containing 20,3,"Rare Single Gene Mutation, Syndromic",1,0,22
ZC3H11A,zinc finger CCCH-type containing 11A,1,Rare Single Gene Mutation,3,0,3
ZC3H4,zinc finger CCCH-type containing 4,19,Rare Single Gene Mutation,2,0,3
ZFYVE26,zinc finger FYVE-type containing 26,14,Rare Single Gene Mutation,3,0,4
ZMYND11,"Zinc finger, MYND-type containing 11",10,"Rare Single Gene Mutation, Syndromic",2,0,10
ZNF18,zinc finger protein 18,17,Rare Single Gene Mutation,3,0,1
ZNF292,zinc finger protein 292,6,Rare Single Gene Mutation,1,0,4
ZNF385B,Zinc finger protein 385B,2,Genetic Association,3,0,2
ZNF462,Zinc finger protein 462,9,"Rare Single Gene Mutation, Syndromic",1,0,9
ZNF517,Zinc finger protein 517,8,Rare Single Gene Mutation,3,0,3
ZNF548,zinc finger protein 548,19,Rare Single Gene Mutation,3,0,2
ZNF559,Zinc finger protein 559,19,Rare Single Gene Mutation,3,0,4
ZNF626,zinc finger protein 626,19,Rare Single Gene Mutation,3,0,2
ZNF713,Zinc finger protein 713,7,Rare Single Gene Mutation,3,0,2
ZNF774,Zinc finger protein 774,15,Rare Single Gene Mutation,3,0,3
ZNF804A,Zinc finger protein 804A,2,"Rare Single Gene Mutation, Genetic Association",2,0,13
ZNF827,Zinc finger protein 827,4,Genetic Association,3,0,1
ZWILCH,zwilchkinetochore protein,15,Rare Single Gene Mutation,3,0,4
